name,id
Parkmore Rd (Roundabout),0
Parkmore Rd (Opp Racecourse Side Gate),1
Parkmore Rd (Opp Western Motors Entr),2
Monivea Rd (Opp Clayton Hotel),3
Monivea Rd (Paddocks),4
Monivea Rd (Ballybrit Heights),5
Monivea Rd (Cottages),6
Castlepark Rd (Glenavon Drive),7
Castlepark Rd (Gortcam),8
Castlepark Rd (Sliabh Rua),9
Castlepark Rd (Community Centre),10
Ballybane Rd (John Paul Centre),11
Monivea Rd (Monivea Park),12
McDonagh Ave (Old Mervue),13
Monivea Rd (Opp Crown Plaza),14
Monivea Rd (GMIT Cluam Mhuire),15
Monivea Rd (Wellpark Retail Est),16
College Rd Galway (Opp Loyola Pk),17
College Rd Galway (Opp Sportsground),18
College Rd Galway (Opp City Hall),19
Forster St (Morgans Hotel),20
Spanish Parade (Spanish Arch),21
Fr Griffin Rd (Opp Fr Griffin Park),22
Fr Griffin Ave (Opp Sea Road),23
Salthill Rd Lwr (Lios Ealtan),24
Salthill Rd Lwr (St Josephs),25
Salthill Rd Lwr (Opp Devon Park),26
Salthill Rd Lwr (Opp Warwick Hotel),27
Upper Salthill Rd (Canton Kitchen),28
Upper Salthill Rd (Opp Western House),29
Dalysfort Rd (Top of Hill),30
Dalysfort Rd (Hollands Shop),31
Dalysfort Rd (Dr Mannix Rd Jctn),32
Dr Mannix Rd (Rockbarton Rd ),33
Dr Mannix Rd (GAA Pitch),34
Threadneedle Rd (Opp Tennis Courts),35
Upper Salthill Rd (Diving Board),36
Upper Salthill Rd (Salthill Hotel),37
Upper Salthill Rd (Waterfront),38
Upper Salthill Rd (Caesars Palace),39
Salthill Rd Lwr (Opp Kelleghers Gar),40
Salthill Rd Lwr (Devon Park),41
Salthill Rd Lwr (Feeneys Shop),42
Salthill Rd Lwr (Opp Lios Ealtan),43
Fr Griffin Ave (Montpellier Terrace),44
Fr Griffin Rd (Fr Griffin Park),45
Spanish Parade (Jurys Hotel),46
Merchants Rd (Kinlay House),47
Br Brendain Ui Either (Go Bus Office),48
College Rd Galway (City Hall),49
College Rd Galway (Sportsground),50
College Rd Galway (Loyola Park),51
Monivea Rd (VEC),52
Monivea Rd (Opp Wellpark Est),53
Monivea Rd (Crown Plaza),54
McDonagh Ave (Old Mervue Shops),55
Monivea Rd (Opp Monivea Park),56
Ballybane Rd (Opp Shopping Centre),57
Ballybane Rd (Opp Ard Aobhinn Drive),58
Castlepark Rd (Opp John Paul Centre),59
Castlepark Rd (Opp Community Centre),60
Castlepark Rd (Opp Gortcam),61
Castlepark Rd (Opp Glenavon Drive),62
Monivea Rd (Opp Cottages),63
Monivea Rd (Opp Ballybrit Heights),64
Monivea Rd (Jctn Lios Caisil),65
Monivea Rd (Clayton Hotel),66
Parkmore Rd (Western Motors Entr),67
Parkmore Rd (Racecourse Side Gate),68
Parkmore Rd (Parkmore Ind Est),69
Ballybane Rd (St James Rd),70
Ballybane Rd (Shopping Centre),71
Shangort Rd (Cotters Shop),72
Shangort Rd (Church),73
Ballymoneen Rd (Barna Rd Jctn),74
Barna Road (Knocknacarra Cross),75
Knocknacarra (Topaz Filling Stat),76
Knocknacarra Rd (Burren View Hts),77
Knocknacarra Rd (Opp Woodlawn),78
Kingston Rd (Kingston Gardens),79
Kingston Rd (Manor Drive),80
Taylors Hill Rd (Threadneedle Junct),81
Taylors Hill Rd (Opp Ardmore),82
Taylors Hill Rd (Highfield Park),83
