name,id
St. Patrick St (Brown Thomas B),0
St. Patrick Street (Princes Street Junction),1
South Main Street (Bishop Lucey Park),2
Frenches Quay (Sulls Electric Shop),3
Probys Quay (St Finbarrs Cathederal),4
Noonan Rd (98th Street Junction),5
Lough Road (Greenmount Ave Junction),6
Lough Rd (Opposite Cork Lough Park),7
Lough Rd (Lough Pet Supplies),8
Togher Road (Opp Earlwood Estate),9
Togher Road (Edward Walsh Rd),10
Togher Road (Deanwood),11
Togher Road (Tramore Rd Jctn),12
Togher Road (Opposite Togher Church),13
Spur Hill (Opposite Sandowne),14
Spur Hill (Fernwood Close),15
Sarsfield Road (Eagle Valley),16
Sarsfield Road (Harley Court),17
Sarsfield Rd (Penneys Wilton),18
CUH (A and E),19
CUH (Main Gate),20
Sarsfield Road (Opp Penneys Wilton),21
Sarsfield Road (Opp Harleycourt),22
Sarsfield Road ( Funeral Home),23
Spur Hill (Opposite Fernwood Estate),24
Spur Hill (Sandowne),25
Togher Road (Togher Church),26
Togher Road (Deanrock),27
Togher Road (Lough Credit Union),28
Togher Road (Sycamore Place),29
Togher Road (Earlwood Estate),30
Lough Rd (Pearse Rd Junction),31
Lough Rd (Cork Lough Park South End),32
Lough Rd (Cork Lough Park North End),33
Lough Road (Lough Church),34
Noonan Road (Greg Road Junction),35
Sharman Crawford St (St Als School),36
Wandesford Quay (Opp Fenton Gallery),37
Grand Parade (Daybreak),38
South Mall (VHI House Stop A),39
Manor Farm (Northbound),40
Lwr Pouladuff Rd(Opp Service station),41
Lwr Friars Walk (Manhattan Bar),42
Connolly Rd (Opp Connolly Green),43
Lower Pouladuff Rd (Lee Metal Ltd),44
Lwr Pouladuff Rd (Patrick Trahy Rd Jctn),45
Lower Pouladuff Rd (Sorrento),46
Pearse Road (Ballyphehane),47
Pearse Road (Friars Walk Junction),48
Pearse Road (Kent Road Junction),49
Pearse Road (O Growney Crescent),50
Curragh Road (Eagle Vile),51
Curragh Rd (Turners Cross Stadium),52
Evergreen Rd (Opp Presentation Sch),53
Summerhill South (Opp Capwell Garage),54
Infirmary Road (St Johns College),55
South Terrace (Opp Irish Pensions),56
George's Quay (Abbey Court House),57
Grand Parade (Argos),58
St. Patrick Street (Awear),59
Upper John Street (Maldron Hotel),60
Watercourse Road (Blackpool Pharmacy),61
Watercourse Road (Blackpool Health Ctr),62
Watercourse Rd (Blackpool Church),63
Dublin Street (Dunnes),64
Dublin Street (Ulster Bank),65
Bros Delaney Rd (Blackpool Shop Cent),66
Old Commons Rd (Opp Topaz Service St),67
Farranferris Ave (Pophams Rd Junction),68
Pophams Rd (Opposite Community Centre),69
Knockpogue Ave (Faranree Church),70
Knockpogue Avenue (Opp Scoil Iosagain),71
Fairhill (Liam Healey Rd Junction),72
Mt Agnes Road (Eir Churchfield),73
Fairfield Upper (Opp Peaches Salon),74
Fairhill Upper (Opp Bridevalley View),75
Fairhill Upper (Na Phiarsaigh GAA),76
Parklands Drive (Park View Green),77
St. Patrick Street (Marks and Spencer),78
Manor Farm (Manor Crescent),79
Manor Farm (Southbound),80
Camden Quay (Bridge Street),81
St Patrick St (Princes St Junction),82
Grand Parade (Caseys Furniture),83
Cork City Hall,84
Langford Row (Opp St Johns College),85
Summerhill South (Capwell Garage),86
Evergreen Rd (Presentation School),87
Curragh Road (Credit Union),88
Curragh Rd (Opp Turners Cross Stad),89
Pearse Road (A.I.B),90
Pearse Road (Irish Independant Park),91
Pearse Road (Connolly Road Junction),92
Pearse Road (Clarkes Road Junction),93
Pearse Road (Pearse Square Shops),94
Lwr Pouladuff Rd (Fr Dominic Rd Jctn),95
Lwr Pouladuff Rd (Saraville),96
Lwr Pouladuff Rd (Connolly Rd Jctn),97
Lwr Pouladuff Rd (Opp UCC Park),98
Lwr Pouladuff Rd (Forge Hill Jctn),99
Parklands Drive (Park Grove),100
Fairhill Drive (St. Johns Well),101
Fairhill Drive (Bridevalley Lower),102
Fairhill Upper (Bridevalley View),103
Fairhill Upper (Opp Willow Bank),104
Fairfield Rd (Side of Peaches Salon),105
Fairfield Rd (Fair Green Pitches),106
Knockpogue Ave (Opp Credit Union),107
Pophams Rd (Before Community Ctr),108
Farranferris Ave (North End),109
Fairfield Ave (Mulberry Heights Pk),110
Old Commons Rd (Topaz Service St),111
Bros Del Rd (Opp Blackpool Shop Ctr),112
Dublin Street (Opp Dunnes),113
Watercourse Road (Opp Blackpool Church),114
Watercourse Rd (Opp Maxol Garage),115
Watercourse Rd (Constellation Bar),116
Kent Rail Station (Horgans Quay),117
Parnell Place (City Bus Stop),118
Washington Street (Four Star Pizza),119
Lancaster Quay (River Lee Hotel),120
Western Road (University College Gate),121
Donovans Road (UCC Honan Chapel),122
College Rd (Opposite UCC Boole),123
College Road (Opp UCC Food Science),124
College Rd (Opposite Bon Secours Hosp),125
College Rd (Opposite Brookfield Lodge),126
College Road (Orchard Rd Westbound),127
Model Farm Rd (Dennehys Cross Church),128
Model Farm Road (Woodlawn),129
Model Farm Road (Opp Farranlea Park),130
Model Farm Rd (Opposite Mount Mercy),131
Model Farm Rd (Parkway Drive Junction),132
Rossa Ave (CETB Cork Training Centre),133
C I T (Campus),134
St. Patrick St (Drawbridge St Jctn),135
Cork Institute of Technology,136
Rossa Avenue (Allendale Avenue Jctn),137
Curraheen Road (Spioraid Naoimh),138
Melbourne Rd (Glencairn Park),139
Melbourne Rd (IDA Enterprise Ireland),140
Model Farm Rd (Opp Ultralase Ireland),141
Model Farm Rd (IDA Technology Park),142
Model Farm Rd (Dept of Agriculture),143
Model Farm Road (Farranlea Park),144
Model Farm Rd (Bishopstown Park),145
Model Farm Rd (Dennehy's Cross Jctn),146
College Road (Orchard Rd Eastbound),147
College Road (Brookfield Lodge),148
College Road (Bon Secours Hospital),149
College Road (Food Science UCC),150
College Road (UCC Gates Boole),151
Donovans Road (Opp Honan Chapel),152
Mardyke Walk (St. Joseph's School),153
Mardyke (Presentation College),154
Sheares Street (Mercy Hospital),155
McCurtain Street (Hillbillys),156
Ovens (Grange Road Terminus),157
Ovens (Opp Grange Manor),158
Killumney Road (Kilumney Cross),159
Ovens (EMC Terminus),160
Ballincollig West (Classes Lake),161
Ballincollig West (Opp Aylsbury Estate),162
Ballincollig West (Opp Old Quarry),163
Ballincollig West (Opp Coolroe Heights),164
Ballincollig West (Op White Horse Bar),165
Ballincollig (Opp Jctn Barrys Road),166
Ballincollig (Shopping Centre),167
Ballincollig Town Centre (Garda St),168
Ballincollig (East Gate),169
Ballincollig (Opp Rosewood Est),170
Model Farm Rd (Guide Dog Centre),171
Model Farm Rd (Church Cross East),172
Model Farm Rd (Inchaggin Eastbound),173
Model Farm Road (Eden Hall),174
