name,id
Galway (Bus Station),0
Dublin Rd (GMIT),1
Oranmore (Oran Town Centre),2
Maree (School),3
Clarenbridge (Church),4
Kilcolgan (N67 Crossroad),5
Ballinderreen (Westbound),6
Kinvara (Main St Keoghs Bar),7
Bellharbour (Opp Dalys Pub),8
Nogra (Travellers Inn),9
New Quay (Opp Linnanes Bar),10
Bellharbour (Burren Cottages),11
Ballyvaughan (Opp Spar),12
Blackhead Lighthouse (southbound),13
Murroogh Bridge (southbound),14
Fanore Cross (ODonoghues Pub),15
Ballinalacken Castle (Main Gate),16
Lisdoonvarna (Burkes Garage),17
Doolin (Rainbow Hostel),18
Doolin (Hotel Doolin),19
Doolin (Doolin Hostel),20
Doolin (Camp Site),21
Doolin (Opp Doolin Hostel),22
Cliffs of Moher (Coach Park),23
Liscannor (Cliffs of Moher Hotel),24
Lahinch (Liscannor Road Bus Shelter),25
Ennistymon (Opp Pot Duggans Pub),26
Corofin Cross (Clare) (eastbound stop),27
Inagh (Opp Service Station),28
O Neills Cross (eastbound stop),29
Fountain Cross (N85/R476 Junction),30
Ennis (Bus Station),31
Nogra (Opp Travellers Inn),32
Fountain Cross (R476),33
O Neills Cross (westbound stop),34
Inagh (Service Station),35
Corofin Cross (Clare) (westbound stop),36
Ennistymon (Pot Duggans Pub),37
Liscannor (Opp Cliffs of Moher Hotel),38
Doolin (Opp Hotel Doolin),39
Doolin (Churchfield B&B),40
Ballinalacken Castle (Opp Main Gate),41
Fanore Cross (Craggagh Post Office),42
Murroogh Bridge (Caher River),43
Blackhead Lighthouse (northbound),44
Ballyvaughan (Spar Shop),45
Bellharbour (Dalys Pub),46
Bellharbour (Pier Entrance),47
New Quay (Linnanes Bar),48
Kinvara (Main St Opp Londis),49
Ballinderreen (Eastbound),50
Kilcolgan (Neilans Shop),51
Clarenbridge (Sherrys),52
Maree (Costcutter),53
Oranmore (Opp Oran Town Centre),54
Dublin Rd (Opp GMIT),55
Raheen (Opposite St Nessans Church),56
St Nessans Road (Opp Meadowvale Est),57
St Nessans Rd (Opp University Hospital),58
St Nessans Rd (Maypark),59
St Nessans Rd (Opp Crescent SC),60
Ballinacurra (Opp St Aubin),61
Ballinacurra (No 5),62
Ballinacurra (Lifford Lodge),63
Punches Cross (Punches Cross),64
O Connell Ave (Opp Ardglass),65
O Connell Ave (Egleston Photography),66
Barrington St (Car Park),67
Upper Mallow St (Jctn Pery Sq),68
Hyde Rd (Post Office),69
Childers Rd (Lady of Lourdes Church),70
Hyde Rd (No 39),71
Hyde Rd (No 66),72
Hyde Rd (No 76),73
Hyde Rd (Meagher Close),74
Upper Mallow St (Peoples Park),75
Lower Mallow St (25),76
Henry St (Garda Station),77
Arthurs Quay (Opp Shopping Centre),78
Athlunkard St (No 16),79
Corbally Rd (Opp Topaz Station),80
Corbally Rd (Milton House),81
Corbally Rd (Mill Rd Junction),82
Corbally Rd (St Munchins School),83
Corbally Rd (Shannon Banks Estate),84
Shannon Banks Est (13 Athlunkard Ave),85
Shannon Banks Est (Op 45 Riverside Dr),86
Shannon Banks Est (33 Riverside Dr),87
Shannon Banks Est (Jnct Riverside Dr),88
Shannon Banks Est (No 1 Riverwalk),89
Westbury Est (Annavilla Grove),90
Westbury Est (No. 150 Clonard),91
Westbury Est (Op No 56 Clonard),92
Westbury (St Nicholas Church),93
Westbury Est (Opp No 10 Vernon Cres),94
Corbally Rd (Opp Shannon Banks Est),95
Corbally Rd (Irish Estates),96
Corbally Rd (Opp Mill Rd Jctn),97
Corbally Rd (House No 11),98
Corbally Rd (Goosers Corner),99
Athlunkard St (No 29),100
Athlunkard St (Opp St Marys Cathedral),101
O Connell St (Augustinian Church),102
O Connell St (HLB Chartered Accountants),103
O Connell St (O Connell Monument),104
O Connell Ave (Model School),105
O Connell Ave (Carmel House),106
